system,mode,slice,n_pos,n_neg,TPR,FPR,TPR_CI,FPR_CI,precision,precision_at_prev,F1,ROC_AUC,PR_AUC,AUC_CI,TPR@FPR1%,TPR@FPR5%,FPR@TPR90%,FPR@TPR95%
PG2-22M,truncate,injecagent,2108,170,0.005218216318785579,0.0,"(0.0029162500067740267, 0.009320273793117026)","(0.0, 0.022098277972591136)",1.0,1.0,0.010382255781028788,0.8163494809688582,0.9830182163890224,"(0.7917010129478737, 0.838994725973881)",0.5180265654648957,0.5588235294117647,0.6294117647058823,0.7705882352941177
PG2-22M,truncate,agentdojo,2450,142,0.022448979591836733,0.0,"(0.01728772645019176, 0.02910548817295262)","(0.0, 0.02634090684688045)",1.0,1.0,0.04391217564870259,0.9439321644150618,0.9947126955165124,"(0.9161463423397528, 0.9677851753377407)",0.15387755102040818,0.6122448979591837,0.09859154929577464,0.1619718309859155
PG2-22M,truncate,agentdojo_paired,2450,49,0.022448979591836733,0.0,"(0.01728772645019176, 0.02910548817295262)","(0.0, 0.07270029673590504)",1.0,1.0,0.04391217564870259,0.8585506039150355,0.9951570022504415,"(0.7822930029154519, 0.9227364639733445)",0.07510204081632653,0.2236734693877551,0.24489795918367346,0.3673469387755102
PG2-22M,truncate,hard_negatives,0,40,,0.025,"(nan, nan)","(0.0044267174077949195, 0.1288165948800778)",0.0,,,,,"(nan, nan)",,,,
PG2-22M,truncate,attacks_vs_hard_negatives,4558,40,0.014480035103115402,0.025,"(0.011398272935333319, 0.018379525574812233)","(0.0044267174077949195, 0.1288165948800778)",0.9850746268656716,0.00581648974843682,0.028540540540540543,0.7790533128565161,0.9961708901969815,"(0.7069542562527424, 0.8458822400175516)",0.004387889425186486,0.4986836331724441,0.65,0.8
PG2-22M,chunk,injecagent,2108,170,0.005218216318785579,0.0,"(0.0029162500067740267, 0.009320273793117026)","(0.0, 0.022098277972591136)",1.0,1.0,0.010382255781028788,0.8163494809688582,0.9830182163890224,"(0.7917010129478737, 0.838994725973881)",0.5180265654648957,0.5588235294117647,0.6294117647058823,0.7705882352941177
PG2-22M,chunk,agentdojo,2450,142,0.022448979591836733,0.0,"(0.01728772645019176, 0.02910548817295262)","(0.0, 0.02634090684688045)",1.0,1.0,0.04391217564870259,0.9398131647025006,0.9937635950779773,"(0.9091241736131073, 0.9659156366772061)",0.10653061224489796,0.6342857142857142,0.1056338028169014,0.15492957746478872
PG2-22M,chunk,agentdojo_paired,2450,49,0.022448979591836733,0.0,"(0.01728772645019176, 0.02910548817295262)","(0.0, 0.07270029673590504)",1.0,1.0,0.04391217564870259,0.8453477717617659,0.9941766914101079,"(0.7635010412328197, 0.9171378592253228)",0.0563265306122449,0.11306122448979591,0.2653061224489796,0.3469387755102041
PG2-22M,chunk,hard_negatives,0,40,,0.025,"(nan, nan)","(0.0044267174077949195, 0.1288165948800778)",0.0,,,,,"(nan, nan)",,,,
PG2-22M,chunk,attacks_vs_hard_negatives,4558,40,0.014480035103115402,0.025,"(0.011398272935333319, 0.018379525574812233)","(0.0044267174077949195, 0.1288165948800778)",0.9850746268656716,0.00581648974843682,0.028540540540540543,0.7846369021500659,0.9962477359595479,"(0.7122860903905222, 0.8505046072838964)",0.004387889425186486,0.5524352786309785,0.65,0.8
